aspect,sentiment,date,id,flag,group
applications,positive,2023-12-20 07:08:49,,0,application
money,negative,2023-12-20 07:08:49,,0,payment
read,neutral,2023-12-20 07:08:49,,0,
commission,negative,2023-12-20 07:08:49,,0,payment
pay,negative,2023-12-20 07:08:49,,0,payment
interpret,negative,2023-12-20 07:08:49,,0,
preview,negative,2023-12-20 07:08:49,,0,
not,negative,2023-12-20 07:08:49,,0,
authorized,negative,2023-12-20 07:08:49,,0,security
review,positive,2023-12-19 19:11:08,,0,communication
sentiment,very positive,2023-12-19 19:11:08,,0,
application,positive,2023-12-19 18:00:23,,0,application
treatment,positive,2023-12-19 18:00:23,,0,
app,positive,2023-12-19 17:57:08,,0,application
tool,positive,2023-12-19 17:57:08,,0,
photos,positive,2023-12-19 17:57:08,,0,photo
amount,negative,2023-12-19 17:46:19,,0,currency
text,very positive,2023-12-19 14:20:04,,0,
sentiment,positive,2023-12-19 14:20:04,,0,
product,positive,2023-12-19 12:25:13,,0,
system,positive,2023-12-19 12:25:13,,0,system
difference,positive,2023-12-19 12:25:13,,0,
review,very positive,2023-12-19 11:29:22,,0,communication
sentiment,very positive,2023-12-19 11:29:22,,0,
istantaneo,positive,2023-12-19 11:06:15,,0,
app,positive,2023-12-19 10:28:53,,0,application
payment,positive,2023-12-19 10:28:53,,0,payment
code,positive,2023-12-19 10:28:53,,0,
bonus,positive,2023-12-19 10:28:53,,0,
cellulare,negative,2023-12-19 06:21:18,,0,
entrare,negative,2023-12-19 06:21:18,,0,
Satipay,negative,2023-12-19 06:21:18,,0,
selfie,negative,2023-12-19 06:21:18,,0,
funziona,negative,2023-12-19 06:21:18,,0,
app,positive,2023-12-18 16:25:27,,0,application
languages,positive,2023-12-18 16:25:27,,0,language
smartphone,positive,2023-12-18 16:04:17,,0,
problem,negative,2023-12-18 16:04:17,,0,
app,very positive,2023-12-18 14:12:37,,0,application
system,positive,2023-12-18 14:12:37,,0,system
payment,positive,2023-12-18 14:12:37,,0,payment
small payments,positive,2023-12-18 14:12:37,,0,
use,positive,2023-12-18 12:05:35,,0,
year,neutral,2023-12-18 12:05:35,,0,
code,positive,2023-12-18 12:05:35,,0,
greeting,positive,2023-12-18 11:27:59,,0,communication
today,neutral,2023-12-18 11:27:59,,0,time
yesterday,positive,2023-12-18 11:27:59,,0,time
carta,positive,2023-12-18 11:04:25,,0,
banca,negative,2023-12-18 11:04:25,,0,
senza,positive,2023-12-18 11:04:25,,0,
problemi,negative,2023-12-18 11:04:25,,0,
experience,negative,2023-12-18 10:35:45,,0,experience
impression,negative,2023-12-18 10:35:45,,0,experience
banking,negative,2023-12-18 10:35:45,,0,payment
payment,negative,2023-12-18 10:35:45,,0,payment
zero,negative,2023-12-18 10:35:45,,0,
system,positive,2023-12-18 08:30:35,,0,system
comfortable,positive,2023-12-18 08:30:35,,0,utility
Ottima,positive,2023-12-18 08:19:16,,0,
pratica,positive,2023-12-18 08:19:16,,0,
applicazione,positive,2023-12-18 08:19:16,,0,application
analisi,positive,2023-12-18 08:19:16,,0,
dati,positive,2023-12-18 08:19:16,,0,
software,positive,2023-12-18 07:16:25,,0,system
experience,positive,2023-12-18 07:16:25,,0,experience
review,very positive,2023-12-18 07:01:34,,0,communication
sentiment,very positive,2023-12-18 07:01:34,,0,
comodità,very positive,2023-12-18 06:13:12,,0,utility
images,positive,2023-12-17 20:28:19,,0,photo
exercises,positive,2023-12-17 20:28:19,,0,experience
pagamenti,positive,2023-12-17 14:01:29,,0,payment
topi,positive,2023-12-17 14:01:29,,0,
risposte,positive,2023-12-17 14:01:29,,0,
app,positive,2023-12-16 19:11:33,,0,application
photo,negative,2023-12-16 19:11:33,,0,photo
gallery,neutral,2023-12-16 19:11:33,,0,
contacts,positive,2023-12-16 19:11:33,,0,
selfie,positive,2023-12-16 19:11:33,,0,
basta,positive,2023-12-16 19:11:33,,0,
application,positive,2023-12-16 18:38:27,,0,application
commission,positive,2023-12-16 18:38:27,,0,payment
settimanale,positive,2023-12-16 18:38:27,,0,time
ricarica,positive,2023-12-16 18:38:27,,0,
banca,positive,2023-12-16 18:38:27,,0,
review,very positive,2023-12-16 18:00:45,,0,communication
sentiment,very positive,2023-12-16 18:00:45,,0,
images,very positive,2023-12-16 11:00:02,,0,photo
exercises,positive,2023-12-16 11:00:02,,0,experience
contacts,negative,2023-12-16 10:21:24,,0,
service,positive,2023-12-16 08:03:20,,0,
food,positive,2023-12-16 08:03:20,,0,
system,very positive,2023-12-16 07:27:31,,0,system
speed,very positive,2023-12-16 07:27:31,,0,
sentiment,negative,2023-12-16 00:21:31,,0,
PIN,positive,2023-12-15 19:38:32,,0,security
non,positive,2023-12-15 19:22:41,,0,
serve,negative,2023-12-15 19:22:41,,0,
mai,neutral,2023-12-15 19:22:41,,0,
moneta,neutral,2023-12-15 19:22:41,,0,currency
budget,negative,2023-12-15 16:32:50,,0,
used,positive,2023-12-15 16:32:50,,0,
made,positive,2023-12-15 16:32:50,,0,
diminish,negative,2023-12-15 16:32:50,,0,
scandalous,positive,2023-12-15 16:32:50,,0,
food,positive,2023-12-15 11:43:32,,0,
service,positive,2023-12-15 11:43:32,,0,
text,very positive,2023-12-15 09:44:47,,0,
service,very positive,2023-12-15 07:11:45,,0,
sentiment,very positive,2023-12-14 13:54:13,,0,
review,positive,2023-12-14 09:36:06,,0,communication
sentiment,very positive,2023-12-14 09:36:06,,0,
customer service,positive,2023-12-14 05:20:02,,0,
product,positive,2023-12-14 05:20:02,,0,
sentiment,neutral,2023-12-13 19:30:36,,0,
experience,negative,2023-12-13 16:58:10,,0,experience
app,positive,2023-12-13 16:24:48,,0,application
languages,positive,2023-12-13 16:24:48,,0,language
customer service,positive,2023-12-13 13:24:41,,0,
product,positive,2023-12-13 13:24:41,,0,
app,positive,2023-12-13 11:12:22,,0,application
affidabile,positive,2023-12-13 06:28:15,,0,
preziosa,positive,2023-12-13 06:28:15,,0,
pagamento,positive,2023-12-13 06:28:15,,0,payment
espansione,positive,2023-12-13 06:28:15,,0,
software,positive,2023-12-12 22:31:01,,0,system
experience,positive,2023-12-12 22:31:01,,0,experience
foto,positive,2023-12-12 18:50:26,,0,photo
parte di exercizi,positive,2023-12-12 18:50:26,,0,
ocean,positive,2023-12-12 13:39:43,,0,
world,positive,2023-12-12 13:39:43,,0,
comodità,positive,2023-12-12 11:51:15,,0,utility
zero commissioni,positive,2023-12-12 11:51:15,,0,
easy to use,positive,2023-12-12 11:51:15,,0,ease_of_use
app,positive,2023-12-12 11:47:30,,0,application
languages,positive,2023-12-12 11:47:30,,0,language
sentiment,negative,2023-12-12 09:37:45,,0,
greeting,positive,2023-12-12 05:17:57,,0,communication
app,positive,2023-12-11 18:06:57,,0,application
performance,negative,2023-12-11 18:06:57,,0,
service,negative,2023-12-11 18:06:57,,0,
work,positive,2023-12-11 02:05:52,,0,experience
income,positive,2023-12-11 02:05:52,,0,
invio,negative,2023-12-10 18:46:44,,0,
richieste,negative,2023-12-10 18:46:44,,0,
buono,positive,2023-12-10 15:06:09,,0,
perduto,negative,2023-12-10 15:06:09,,0,
sentiment,very positive,2023-12-10 08:33:20,,0,
book,positive,2023-12-09 14:11:06,,0,
work,positive,2023-12-09 14:11:06,,0,experience
payment,positive,2023-12-09 12:30:26,,0,payment
credit card,positive,2023-12-09 12:30:26,,0,
cart,positive,2023-12-09 12:30:26,,0,
ottimo,positive,2023-12-09 09:50:13,,0,
strumento,positive,2023-12-09 09:50:13,,0,
abbastanza,positive,2023-12-09 09:50:13,,0,
diffuso,positive,2023-12-09 09:50:13,,0,
use,positive,2023-12-09 09:12:17,,0,
increase,positive,2023-12-09 09:12:17,,0,
decrease,negative,2023-12-09 09:12:17,,0,
emorroidi,positive,2023-12-08 21:18:58,,0,
book,positive,2023-12-08 21:18:58,,0,
sentiment,positive,2023-12-08 15:26:03,,0,
hashtags,positive,2023-12-08 07:49:34,,0,
function,positive,2023-12-07 19:41:52,,0,
use,positive,2023-12-07 19:41:52,,0,
diffuse,positive,2023-12-07 19:41:52,,0,
utility,positive,2023-12-07 17:36:58,,0,utility
book,negative,2023-12-07 15:51:26,,0,
text,very positive,2023-12-07 14:30:04,,0,
app,positive,2023-12-07 10:03:01,,0,application
time,negative,2023-12-07 07:40:37,,0,time
need,positive,2023-12-07 07:40:37,,0,
sentiment,negative,2023-12-06 20:57:24,,0,
app,very positive,2023-12-06 17:51:18,,0,application
ottimo,positive,2023-12-06 17:23:27,,0,
provare,positive,2023-12-06 17:23:27,,0,
comodo,positive,2023-12-06 16:55:12,,0,
sempplice,positive,2023-12-06 16:55:12,,0,
pagare,positive,2023-12-06 16:55:12,,0,
inviare,positive,2023-12-06 16:55:12,,0,
denaro,positive,2023-12-06 16:55:12,,0,
parenti,positive,2023-12-06 16:55:12,,0,
amici,positive,2023-12-06 16:55:12,,0,
invite,negative,2023-12-06 15:34:38,,0,communication
friend,positive,2023-12-06 15:34:38,,0,
payment,negative,2023-12-06 15:34:38,,0,payment
bonus,negative,2023-12-06 15:34:38,,0,
invite_again,negative,2023-12-06 15:34:38,,0,communication
assistance,negative,2023-12-06 10:05:52,,0,communication
simple,positive,2023-12-06 09:48:18,,0,ease_of_use
easy,positive,2023-12-06 09:48:18,,0,ease_of_use
fast,positive,2023-12-06 09:48:18,,0,ease_of_use
task,positive,2023-12-06 06:25:53,,0,
weekend,positive,2023-12-06 06:25:53,,0,
day,positive,2023-12-06 06:25:53,,0,
payment,positive,2023-12-06 06:25:53,,0,payment
invite,negative,2023-12-06 05:50:43,,0,communication
amount,negative,2023-12-06 05:50:43,,0,currency
fluidity,very positive,2023-12-06 05:08:30,,0,
system,very positive,2023-12-06 05:08:30,,0,system
love,very positive,2023-12-06 05:08:30,,0,
adore,very positive,2023-12-06 05:08:30,,0,
satisfy,very positive,2023-12-06 05:08:30,,0,
velocity,very positive,2023-12-06 05:08:30,,0,
sample,very positive,2023-12-06 05:08:30,,0,
top,very positive,2023-12-06 05:08:30,,0,
non_riesco,negative,2023-12-05 14:36:14,,0,ease_of_use
ricariche,negative,2023-12-05 14:36:14,,0,
fossero,negative,2023-12-05 14:36:14,,0,
gratuite,negative,2023-12-05 14:36:14,,0,
direi,negative,2023-12-05 14:36:14,,0,
pessimo,negative,2023-12-05 14:36:14,,0,
tutto_bene,positive,2023-12-05 11:34:40,,0,
state,negative,2023-12-05 11:31:32,,0,
service,positive,2023-12-05 07:56:29,,0,
food,positive,2023-12-05 07:56:29,,0,
budget,negative,2023-12-04 22:32:56,,0,
bank,negative,2023-12-04 22:32:56,,0,
sentiment,negative,2023-12-04 18:15:07,,0,
colpo,negative,2023-12-04 17:43:06,,0,
ricarica,negative,2023-12-04 17:43:06,,0,
istantanea,negative,2023-12-04 17:43:06,,0,
motivo,negative,2023-12-04 17:43:06,,0,
capire,positive,2023-12-04 17:43:06,,0,
sentiment,positive,2023-12-04 15:37:47,,0,
service,positive,2023-12-04 15:23:36,,0,
essenziale,positive,2023-12-04 10:30:02,,0,
very,positive,2023-12-04 10:19:58,,0,
comodo,positive,2023-12-04 10:19:58,,0,
utile,positive,2023-12-04 10:19:58,,0,utility
semplice,positive,2023-12-04 10:19:58,,0,ease_of_use
usare,positive,2023-12-04 10:19:58,,0,ease_of_use
nella,positive,2023-12-04 10:19:58,,0,
spese,positive,2023-12-04 10:19:58,,0,
quotidiane,positive,2023-12-04 10:19:58,,0,
assistance,positive,2023-12-04 07:16:24,,0,communication
problem,negative,2023-12-04 07:16:24,,0,
sentiment,very positive,2023-12-04 07:04:45,,0,
applicazione,positive,2023-12-03 14:40:38,,0,application
comodissima,positive,2023-12-03 14:40:38,,0,
monte,neutral,2023-12-03 14:40:38,,0,
tasca,neutral,2023-12-03 14:40:38,,0,utility
bar,positive,2023-12-03 14:40:38,,0,utility
pago,positive,2023-12-03 14:40:38,,0,payment
app,positive,2023-12-03 14:40:38,,0,application
text,positive,2023-12-03 04:26:15,,0,
utile,positive,2023-12-03 02:03:46,,0,utility
practico,positive,2023-12-03 02:03:46,,0,ease_of_use
pagamenti,positive,2023-12-03 02:03:46,,0,payment
risparmiare,positive,2023-12-03 02:03:46,,0,utility
funzione,positive,2023-12-03 02:03:46,,0,utility
salvadanaio,positive,2023-12-03 02:03:46,,0,payment
text,negative,2023-12-02 16:13:50,,0,
sentiment,negative,2023-12-02 12:45:50,,0,
utile,positive,2023-12-02 09:04:46,,0,utility
molto,positive,2023-12-02 09:04:46,,0,
comoda,positive,2023-12-02 09:04:46,,0,utility
calendario,positive,2023-12-02 09:04:46,,0,time
attività,negative,2023-12-02 06:15:32,,0,utility
user,positive,2023-12-01 22:10:18,,0,communication
visualizations,positive,2023-12-01 10:14:11,,0,experience
contacts,positive,2023-12-01 10:14:11,,0,
ottimo,positive,2023-12-01 09:30:58,,0,
spese,positive,2023-12-01 09:30:58,,0,
quotidiane,positive,2023-12-01 09:30:58,,0,
fantastica,positive,2023-12-01 07:33:11,,0,experience
comodissima,positive,2023-12-01 07:33:11,,0,
like,positive,2023-11-30 20:39:17,,0,communication
exercises,negative,2023-11-30 20:39:17,,0,experience
images,positive,2023-11-30 20:39:17,,0,photo
price,negative,2023-11-30 20:39:17,,0,payment
treni,negative,2023-11-30 16:47:32,,0,utility
images,neutral,2023-11-30 14:00:16,,0,photo
exercises,neutral,2023-11-30 14:00:16,,0,experience
rating,very positive,2023-11-30 10:40:43,,0,experience
bonus,negative,2023-11-30 03:40:03,,0,
arrived,negative,2023-11-30 03:40:03,,0,time
review,positive,2023-11-29 23:13:31,,0,communication
sentiment,very positive,2023-11-29 23:13:31,,0,
promo,negative,2023-11-29 18:17:37,,0,payment
price,negative,2023-11-29 18:17:37,,0,payment
invite,positive,2023-11-29 18:17:37,,0,communication
invitation,positive,2023-11-29 18:17:37,,0,communication
complaint,negative,2023-11-29 18:17:37,,0,communication
gentilezza,positive,2023-11-29 17:40:13,,0,communication
competenza,positive,2023-11-29 17:40:13,,0,experience
price,very positive,2023-11-29 17:35:07,,0,payment
payment,positive,2023-11-29 17:35:07,,0,payment
delivery,positive,2023-11-29 17:35:07,,0,time
due_settimane,negative,2023-11-29 13:07:54,,0,time
aspetto,positive,2023-11-29 13:07:54,,0,appearance
non_riesco,negative,2023-11-29 13:07:54,,0,ease_of_use
mi_fa,negative,2023-11-29 13:07:54,,0,emotion
avanti_boh,negative,2023-11-29 13:07:54,,0,communication
cinci_rinuncio,negative,2023-11-29 13:07:54,,0,communication
text,negative,2023-11-29 10:30:56,,0,
app,positive,2023-11-29 10:17:07,,0,application
fare,positive,2023-11-29 10:17:07,,0,utility
acquisti,positive,2023-11-29 10:17:07,,0,payment
negozi,positive,2023-11-29 10:17:07,,0,utility
bellissima,positive,2023-11-29 10:17:07,,0,appearance
apk,positive,2023-11-29 09:12:26,,0,application
potete,positive,2023-11-29 09:12:26,,0,communication
scaricare,positive,2023-11-29 09:12:26,,0,application
approfittare,positive,2023-11-29 09:12:26,,0,payment
diversi,positive,2023-11-29 09:12:26,,0,utility
servizi,positive,2023-11-29 09:12:26,,0,utility
software,positive,2023-11-28 19:56:32,,0,system
experience,positive,2023-11-28 19:56:32,,0,experience
review,very positive,2023-11-28 16:05:35,,0,communication
app,positive,2023-11-28 15:55:06,,0,application
service,negative,2023-11-28 15:55:06,,0,
status,negative,2023-11-28 13:26:46,,0,system
sentiment,very positive,2023-11-28 12:32:08,,0,
code,negative,2023-11-28 12:18:10,,0,
bonus,negative,2023-11-28 12:18:10,,0,
spettacolo,neutral,2023-11-27 21:35:45,,0,experience
play,negative,2023-11-27 21:35:45,,0,experience
actors,positive,2023-11-27 21:35:45,,0,experience
service,very positive,2023-11-26 13:11:03,,0,
text,very positive,2023-11-25 21:58:46,,0,
software,positive,2023-11-25 19:24:23,,0,system
experience,positive,2023-11-25 19:24:23,,0,experience
images,positive,2023-11-25 16:19:21,,0,photo
exercises,positive,2023-11-25 16:19:21,,0,experience
today,positive,2023-11-25 10:15:15,,0,time
first,positive,2023-11-25 10:15:15,,0,time
time,positive,2023-11-25 10:15:15,,0,time
bar,positive,2023-11-25 10:15:15,,0,utility
peccato,positive,2023-11-25 06:40:44,,0,emotion
sia,positive,2023-11-25 06:40:44,,0,communication
diffuso,negative,2023-11-25 06:40:44,,0,
capillarmente,positive,2023-11-25 06:40:44,,0,utility
molto,positive,2023-11-25 06:40:44,,0,
comodo,positive,2023-11-25 06:40:44,,0,
text,positive,2023-11-24 20:19:55,,0,
comodità,neutral,2023-11-24 19:54:49,,0,utility
life,positive,2023-11-24 15:06:40,,0,experience
app,positive,2023-11-24 14:37:23,,0,application
addebito,positive,2023-11-24 14:37:23,,0,payment
saldo,positive,2023-11-24 14:37:23,,0,payment
satispay,positive,2023-11-24 14:37:23,,0,payment
text,very positive,2023-11-24 11:47:52,,0,
images,neutral,2023-11-24 08:15:06,,0,photo
exercises,neutral,2023-11-24 08:15:06,,0,experience
facile,positive,2023-11-23 20:40:31,,0,ease_of_use
comodo,positive,2023-11-23 20:40:31,,0,
veloce,positive,2023-11-23 20:40:31,,0,speed
sentiment,negative,2023-11-23 18:28:24,,0,
software,positive,2023-11-23 17:22:32,,0,system
experience,positive,2023-11-23 17:22:32,,0,experience
buono,positive,2023-11-23 11:11:40,,0,
perduto,negative,2023-11-23 11:11:40,,0,
service,negative,2023-11-23 07:57:36,,0,
registrare,neutral,2023-11-23 06:12:47,,0,utility
raggirandorti,negative,2023-11-23 06:12:47,,0,security
promettendo,positive,2023-11-23 06:12:47,,0,communication
bonus,positive,2023-11-23 06:12:47,,0,
non,neutral,2023-11-23 06:12:47,,0,
arrivano,negative,2023-11-23 06:12:47,,0,time
review,very positive,2023-11-22 18:35:33,,0,communication
service,positive,2023-11-22 18:18:11,,0,
quality,positive,2023-11-22 18:18:11,,0,experience
use,positive,2023-11-22 17:55:07,,0,
text,very positive,2023-11-22 10:44:35,,0,
app,positive,2023-11-22 10:38:51,,0,application
review,very positive,2023-11-22 10:38:51,,0,communication
friend,positive,2023-11-22 09:37:25,,0,
problem,negative,2023-11-22 09:37:25,,0,
invitation,positive,2023-11-22 09:21:34,,0,communication
receipt,negative,2023-11-22 09:21:34,,0,payment
bonus,negative,2023-11-22 09:21:34,,0,
useful,very positive,2023-11-21 19:35:15,,0,utility
immediate,positive,2023-11-21 19:35:15,,0,speed
minimal,positive,2023-11-21 19:35:15,,0,appearance
percentual,negative,2023-11-21 19:35:15,,0,payment
banks,negative,2023-11-21 19:35:15,,0,utility
food,very positive,2023-11-21 08:57:36,,0,
service,very positive,2023-11-21 08:57:36,,0,
text,positive,2023-11-20 19:07:11,,0,
decisamente,very positive,2023-11-20 14:45:45,,0,communication
molto,very positive,2023-11-20 14:45:45,,0,
pratico,positive,2023-11-20 14:45:45,,0,ease_of_use
immediato,positive,2023-11-20 14:45:45,,0,speed
consiglio,positive,2023-11-20 14:45:45,,0,communication
tutti,positive,2023-11-20 14:45:45,,0,communication
gli,positive,2023-11-20 14:45:45,,0,communication
amici,positive,2023-11-20 14:45:45,,0,
review,positive,2023-11-20 14:43:35,,0,communication
exercises,positive,2023-11-20 14:43:35,,0,experience
images,positive,2023-11-20 14:43:35,,0,photo
service,very positive,2023-11-20 11:36:07,,0,
speed,very positive,2023-11-20 11:36:07,,0,
comodissimo,very positive,2023-11-20 09:07:11,,0,ease_of_use
molto pratico,very positive,2023-11-20 09:07:11,,0,ease_of_use
facile,very positive,2023-11-20 09:07:11,,0,ease_of_use
usare,very positive,2023-11-20 09:07:11,,0,ease_of_use
senza,very positive,2023-11-20 09:07:11,,0,
idea,positive,2023-11-19 19:33:24,,0,utility
fatto,negative,2023-11-19 19:33:24,,0,experience
commissione,negative,2023-11-19 19:33:24,,0,payment
ricarica,negative,2023-11-19 19:33:24,,0,
utilizzo,negative,2023-11-19 19:33:24,,0,utility
indispensabile,neutral,2023-11-18 22:57:19,,0,utility
intuitivo,positive,2023-11-18 20:02:09,,0,
sicuro,positive,2023-11-18 20:02:09,,0,security
ottimo,very positive,2023-11-18 17:24:13,,0,
app,very positive,2023-11-18 13:03:09,,0,application
validissima,very positive,2023-11-18 13:03:09,,0,experience
sicura,very positive,2023-11-18 13:03:09,,0,security
images,positive,2023-11-18 11:38:04,,0,photo
exercises,positive,2023-11-18 11:38:04,,0,experience
images,positive,2023-11-18 11:08:21,,0,photo
exercises,positive,2023-11-18 11:08:21,,0,experience
use,positive,2023-11-17 19:20:40,,0,
time,positive,2023-11-17 19:20:40,,0,time
payment,positive,2023-11-17 19:20:40,,0,payment
code,positive,2023-11-17 19:20:40,,0,
photo,positive,2023-11-17 17:04:00,,0,photo
selfie,negative,2023-11-17 17:04:00,,0,
service,positive,2023-11-17 13:30:47,,0,
efficiency,positive,2023-11-17 13:30:47,,0,experience
date,positive,2023-11-17 13:26:28,,0,time
result,negative,2023-11-17 13:26:28,,0,experience
service,very positive,2023-11-17 11:45:03,,0,
useful,positive,2023-11-17 11:45:03,,0,utility
problem,negative,2023-11-17 11:45:03,,0,
review,positive,2023-11-17 09:58:19,,0,communication
exercises,negative,2023-11-17 09:58:19,,0,experience
tempo,positive,2023-11-17 08:05:38,,0,time
buono,positive,2023-11-16 19:27:54,,0,
perduto,negative,2023-11-16 19:27:54,,0,
service,very positive,2023-11-16 19:10:27,,0,
quality,very positive,2023-11-16 19:10:27,,0,experience
speed,very positive,2023-11-16 19:10:27,,0,
assistance,very positive,2023-11-16 19:10:27,,0,communication
images,positive,2023-11-16 14:49:15,,0,photo
exercises,positive,2023-11-16 14:49:15,,0,experience
banca,negative,2023-11-16 13:22:26,,0,
conto,positive,2023-11-16 13:22:26,,0,utility
transazione,positive,2023-11-16 13:22:26,,0,payment
mesi,positive,2023-11-16 06:42:56,,0,time
account,positive,2023-11-16 06:42:56,,0,utility
date,negative,2023-11-16 05:31:32,,0,time
fineco,positive,2023-11-15 23:01:32,,0,utility
google,positive,2023-11-15 23:01:32,,0,utility
pay,positive,2023-11-15 23:01:32,,0,payment
favor,positive,2023-11-15 23:01:32,,0,communication
cara,positive,2023-11-15 23:01:32,,0,communication
amica,positive,2023-11-15 23:01:32,,0,communication
text,very positive,2023-11-15 21:08:33,,0,
sentiment,positive,2023-11-15 21:08:33,,0,
app,positive,2023-11-15 09:50:28,,0,application
useful,positive,2023-11-15 09:50:28,,0,utility
fast,positive,2023-11-15 09:50:28,,0,ease_of_use
comfortable,positive,2023-11-15 09:50:28,,0,utility
beautiful,positive,2023-11-15 09:50:28,,0,appearance
expand,positive,2023-11-15 09:50:28,,0,utility
region,positive,2023-11-15 09:50:28,,0,utility
Italy,positive,2023-11-15 09:50:28,,0,utility
Europe,positive,2023-11-15 09:50:28,,0,utility
images,positive,2023-11-15 07:42:46,,0,photo
exercises,negative,2023-11-15 07:42:46,,0,experience
text,very positive,2023-11-15 07:15:38,,0,
sentiment,very positive,2023-11-15 07:15:38,,0,
app,positive,2023-11-14 23:14:51,,0,application
salvadanaio,positive,2023-11-14 23:14:51,,0,payment
images,positive,2023-11-14 17:13:39,,0,photo
exercises,positive,2023-11-14 17:13:39,,0,experience
software,positive,2023-11-14 16:52:47,,0,system
experience,positive,2023-11-14 16:52:47,,0,experience
application,very positive,2023-11-14 16:14:17,,0,application
consulting,positive,2023-11-14 16:14:17,,0,communication
text,very positive,2023-11-14 10:43:36,,0,
food,positive,2023-11-14 06:57:51,,0,
service,positive,2023-11-14 06:57:51,,0,
price,positive,2023-11-14 06:57:51,,0,payment
account,negative,2023-11-13 21:45:05,,0,utility
sfida,positive,2023-11-13 21:45:05,,0,experience
commercial,positive,2023-11-13 19:48:06,,0,communication
cash back,positive,2023-11-13 19:48:06,,0,payment
accredito,negative,2023-11-13 19:08:28,,0,payment
sentiment,negative,2023-11-13 17:50:36,,0,
utile,positive,2023-11-13 12:03:50,,0,utility
pratico,positive,2023-11-13 12:03:50,,0,ease_of_use
application,positive,2023-11-13 12:03:07,,0,application
pizza,negative,2023-11-13 10:43:00,,0,utility
IBAN,negative,2023-11-13 07:14:57,,0,payment
images,positive,2023-11-12 21:14:42,,0,photo
exercises,positive,2023-11-12 21:14:42,,0,experience
images,negative,2023-11-12 12:45:46,,0,photo
exercises,negative,2023-11-12 12:45:46,,0,experience
smartphone,positive,2023-11-12 09:45:27,,0,
app,positive,2023-11-12 09:45:27,,0,application
email,positive,2023-11-12 09:45:27,,0,communication
access,negative,2023-11-12 09:45:27,,0,utility
registration,positive,2023-11-12 09:45:27,,0,communication
accreditation,negative,2023-11-12 09:45:27,,0,communication
lost,negative,2023-11-12 09:45:27,,0,communication
service,positive,2023-11-12 09:40:51,,0,
justice,positive,2023-11-12 09:40:51,,0,communication
app,positive,2023-11-12 08:50:14,,0,application
banking,positive,2023-11-12 08:50:14,,0,payment
time,positive,2023-11-12 08:50:14,,0,time
transaction,positive,2023-11-12 08:50:14,,0,payment
date,positive,2023-11-12 08:50:14,,0,time
status,positive,2023-11-12 08:50:14,,0,system
hashtags,positive,2023-11-11 18:22:15,,0,
peccato,negative,2023-11-11 17:38:32,,0,emotion
privacy,negative,2023-11-11 17:38:32,,0,security
easy,positive,2023-11-11 12:34:21,,0,ease_of_use
fast,positive,2023-11-11 12:34:21,,0,ease_of_use
safe,positive,2023-11-11 12:34:21,,0,security
comodità,very positive,2023-11-10 16:28:46,,0,utility
sicurezza,very positive,2023-11-10 16:28:46,,0,security
budget,negative,2023-11-10 16:22:04,,0,
payment,positive,2023-11-10 12:39:10,,0,payment
other,positive,2023-11-10 12:39:10,,0,utility
